T,TM,Tm,H,PP,VV,V,VM,NH3
30.8,35,26.5,70,0,3.9,7.8,14.8,1.6
30.8,35,26.5,70,0,3.9,7.8,14.8,1.6
30.4,35,27,72,0,4.2,9.3,14.8,1.6
30.4,35,27,72,0,4.2,9.3,14.8,1.6
27.4,30.1,25.6,86,1.02,3.7,5.4,13,1.6
27.4,30.1,25.6,86,1.02,3.7,5.4,13,1.6
28.3,33,25.5,83,0,3.4,5.2,11.1,1.6
28.3,33,25.5,83,0,3.4,5.2,11.1,1.6
29.6,35.4,25.5,80,4.06,4,9.6,18.3,1.6
29.6,35.4,25.5,80,4.06,4,9.6,18.3,1.6
30.2,35,25.4,70,9.91,4.3,11.3,20.6,1.6
30.2,35,25.4,70,9.91,4.3,11.3,20.6,1.6
29.4,33.4,25.7,73,0,4.5,14.6,20.6,1.6
29.4,33.4,25.7,73,0,4.5,14.6,20.6,1.6
30.7,36,26,65,0,4.5,14.8,22.2,1.6
30.7,36,26,65,0,4.5,14.8,22.2,1.6
30.6,35,26.2,70,0,4.7,10,16.5,1.6
30.6,35,26.2,70,0,4.7,10,16.5,1.6
31.1,35,26.6,68,0,4.5,9.1,16.5,1.6
31.1,35,26.6,68,0,4.5,9.1,16.5,1.6
31.3,35.9,26,67,0,4.7,9.4,18.3,1.6
31.3,35.9,26,67,0,4.7,9.4,18.3,1.6
30.4,35,27,71,0,4.5,9.1,16.5,1.6
30.4,35,27,71,0,4.5,9.1,16.5,1.6
30.7,36,26.4,65,0,4.3,11.1,22.2,1.6
30.7,36,26.4,65,0,4.3,11.1,22.2,1.6
30.3,35,26,63,0,4.3,8.7,14.8,1.6
30.3,35,26,63,0,4.3,8.7,14.8,1.6
30.3,35,24.4,61,0,4.3,7.2,13,1.6
30.3,35,24.4,61,0,4.3,7.2,13,1.6
30.7,37,25.6,61,0,4.7,8.9,14.8,1.6
30.7,37,25.6,61,0,4.7,8.9,14.8,1.6
30.3,36,27,66,0,4.7,5.9,18.3,1.6
30.3,36,27,66,0,4.7,5.9,18.3,1.6
31,35.5,26,64,0,4.7,4.4,11.1,1.6
31,35.5,26,64,0,4.7,4.4,11.1,1.6
31.6,38,26.4,63,0,4.5,11.3,18.3,1.6
31.6,38,26.4,63,0,4.5,11.3,18.3,1.6
32.2,38,26.5,64,0,4.5,10.9,16.5,1.6
32.2,38,26.5,64,0,4.5,10.9,16.5,1.6
31.9,37,26.4,62,0,4.5,11.1,18.3,1.6
31.9,37,26.4,62,0,4.5,11.1,18.3,1.6
27.4,32,24,86,57.91,3.9,11.3,20.6,1.6
27.4,32,24,86,57.91,3.9,11.3,20.6,1.6
25,26,23,95,2.03,2.3,8.3,13,1.6
25,26,23,95,2.03,2.3,8.3,13,1.6
27,31,24.5,91,8.89,2.9,11.7,16.5,1.6
27,31,24.5,91,8.89,2.9,11.7,16.5,1.6
28.8,34,24,66,0,4.8,9.3,14.8,1.6
28.8,34,24,66,0,4.8,9.3,14.8,1.6
28.7,34.1,23.5,68,0,5,9.3,16.5,1.6
28.7,34.1,23.5,68,0,5,9.3,16.5,1.6
29.4,34.3,24.4,67,0,4.8,5.7,13,1.6
29.4,34.3,24.4,67,0,4.8,5.7,13,1.6
30.7,38,23,52,0,4.3,4.6,11.1,1.6
30.7,38,23,52,0,4.3,4.6,11.1,1.6
31.1,38,23,54,0,4.3,5.4,11.1,1.6
31.1,38,23,54,0,4.3,5.4,11.1,1.6
31.8,39,25,63,0,3.9,7.2,16.5,1.6
31.8,39,25,63,0,3.9,7.2,16.5,1.6
32.3,40,24,48,0,4.7,5.4,14.8,1.6
32.3,40,24,48,0,4.7,5.4,14.8,1.6
31.7,40,24,47,0,4.3,3.7,14.8,1.6
31.7,40,24,47,0,4.3,3.7,14.8,1.6
32.3,40,23,46,0,4.3,5.4,13,1.6
32.3,40,23,46,0,4.3,5.4,13,1.6
31.9,39,24.5,53,0,4.2,3.9,9.4,1.6
31.9,39,24.5,53,0,4.2,3.9,9.4,1.6
30.9,40,24,52,0,4.5,3.5,11.1,1.6
30.9,40,24,52,0,4.5,3.5,11.1,1.6
30.5,40,24,50,0,4.3,3.9,11.1,1.6
30.5,40,24,50,0,4.3,3.9,11.1,1.6
31.3,40,23,49,0,4.2,1.3,5.4,1.6
31.3,40,23,49,0,4.2,1.3,5.4,1.6
31.1,39,22.3,51,0,4.5,3.5,13,1.6
31.1,39,22.3,51,0,4.5,3.5,13,1.6
30.3,39,23.4,55,0,4.2,1.9,7.6,1.6
30.3,39,23.4,55,0,4.2,1.9,7.6,1.6
27.4,38,21,53,0,4.2,2.2,9.4,1.6
27.4,38,21,53,0,4.2,2.2,9.4,1.6
27.7,38,20.9,55,0,4,2.2,11.1,1.6
27.7,38,20.9,55,0,4,2.2,11.1,1.6
28.6,37,20,44,0,4.5,6.3,22.2,1.6
28.6,37,20,44,0,4.5,6.3,22.2,1.6
24.9,32,19.8,50,0,4.8,10.9,16.5,1.6
24.9,32,19.8,50,0,4.8,10.9,16.5,1.6
26.7,34,19.9,55,0,4.3,6.5,18.3,1.6
26.7,34,19.9,55,0,4.3,6.5,18.3,1.6
27.9,36,21,52,0,4.5,5,13,1.6
27.9,36,21,52,0,4.5,5,13,1.6
28.2,36,21,50,0,4.5,3.5,11.1,1.6
28.2,36,21,50,0,4.5,3.5,11.1,1.6
27.1,36,19.3,44,0,4.3,4.4,14.8,1.6
27.1,36,19.3,44,0,4.3,4.4,14.8,1.6
25.4,35,17,44,0,3.9,3.1,9.4,1.6
25.4,35,17,44,0,3.9,3.1,9.4,1.6
26.7,36,11.5,49,0,4,2,7.6,1.6
26.7,36,11.5,49,0,4,2,7.6,1.6
27.5,38,19.8,49,0,4.3,2.4,9.4,1.6
27.5,38,19.8,49,0,4.3,2.4,9.4,1.6
27.5,37,17,42,0,4.3,3.7,9.4,1.6
27.5,37,17,42,0,4.3,3.7,9.4,1.6
26.7,36,16.8,50,0,4.3,4.1,9.4,1.6
26.7,36,16.8,50,0,4.3,4.1,9.4,1.6
23.8,33.3,18,42,0,4.3,7.8,14.8,1.6
23.8,33.3,18,42,0,4.3,7.8,14.8,1.6
24.8,34,17.8,39,0,4.5,7,13,1.6
24.8,34,17.8,39,0,4.5,7,13,1.6
26.7,34,18.9,38,0,4.5,7.4,14.8,1.6
26.7,34,18.9,38,0,4.5,7.4,14.8,1.6
27.6,34,21,47,0,3.5,5.6,14.8,1.6
27.6,34,21,47,0,3.5,5.6,14.8,1.6
25.8,34,17,40,0,4,7,14.8,1.6
25.8,34,17,40,0,4,7,14.8,1.6
20.5,29,13,35,0,4.5,5,14.8,1.6
20.5,29,13,35,0,4.5,5,14.8,1.6
24,34,16,48,0,4.2,4.6,13,1.6
24,34,16,48,0,4.2,4.6,13,1.6
21.8,32,15,42,0,4.2,6.3,14.8,1.6
21.8,32,15,42,0,4.2,6.3,14.8,1.6
21.5,31,13,41,0,4.3,6.3,18.3,1.6
21.5,31,13,41,0,4.3,6.3,18.3,1.6
23.4,35,14,46,0,4.3,4.1,11.1,1.6
23.4,35,14,46,0,4.3,4.1,11.1,1.6
24,34,16,41,0,4.3,4.4,11.1,1.6
24,34,16,41,0,4.3,4.4,11.1,1.6
25.3,34,15,45,0,4.3,3,11.1,1.6
25.3,34,15,45,0,4.3,3,11.1,1.6
17.4,27,10,41,0,4.7,7.4,14.8,1.6
17.4,27,10,41,0,4.7,7.4,14.8,1.6
16.9,26.4,10,40,0,4.2,10.7,22.2,1.6
16.9,26.4,10,40,0,4.2,10.7,22.2,1.6
17.4,26.5,11,36,0,4.5,9.4,22.2,1.6
17.4,26.5,11,36,0,4.5,9.4,22.2,1.6
16.9,28,11,48,0,4.3,5.7,12.1,1.6
16.9,28,11,48,0,4.3,5.7,12.1,1.6
18.3,28,8,39,0,4.2,5,9.4,1.6
18.3,28,8,39,0,4.2,5,9.4,1.6
18.2,27,10.7,44,0,4.3,8.1,14.8,1.6
18.2,27,10.7,44,0,4.3,8.1,14.8,1.6
17.9,25,10.5,39,0,4.2,10.9,20.6,1.6
17.9,25,10.5,39,0,4.2,10.9,20.6,1.6
18.4,28.2,11,37,0,4.5,7.8,16.5,1.6
18.4,28.2,11,37,0,4.5,7.8,16.5,1.6
20.8,30,11.9,37,0,4.5,5.2,13,1.6
20.8,30,11.9,37,0,4.5,5.2,13,1.6
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,1.6
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,1.6
22.4,32,14,45,0,4.2,4.6,13,1.6
22.4,32,14,45,0,4.2,4.6,13,1.6
