T,TM,Tm,H,PP,VV,V,VM,NOx
24,34,16,41,0,4.3,4.4,11.1,69.73
25.3,34,15,45,0,4.3,3,11.1,69.73
25.3,34,15,45,0,4.3,3,11.1,69.73
17.4,27,10,41,0,4.7,7.4,14.8,69.73
17.4,27,10,41,0,4.7,7.4,14.8,69.73
16.9,26.4,10,40,0,4.2,10.7,22.2,69.73
16.9,26.4,10,40,0,4.2,10.7,22.2,69.73
17.4,26.5,11,36,0,4.5,9.4,22.2,69.73
17.4,26.5,11,36,0,4.5,9.4,22.2,69.73
16.9,28,11,48,0,4.3,5.7,12.1,69.73
16.9,28,11,48,0,4.3,5.7,12.1,69.73
18.3,28,8,39,0,4.2,5,9.4,69.73
18.3,28,8,39,0,4.2,5,9.4,69.73
18.2,27,10.7,44,0,4.3,8.1,14.8,69.73
18.2,27,10.7,44,0,4.3,8.1,14.8,69.73
17.9,25,10.5,39,0,4.2,10.9,20.6,69.73
17.9,25,10.5,39,0,4.2,10.9,20.6,69.73
18.4,28.2,11,37,0,4.5,7.8,16.5,69.73
18.4,28.2,11,37,0,4.5,7.8,16.5,69.73
20.8,30,11.9,37,0,4.5,5.2,13,69.73
20.8,30,11.9,37,0,4.5,5.2,13,69.73
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,69.73
22.05,31.65,13.5,46.5,0,4.25,4.05,12.05,69.73
22.4,32,14,45,0,4.2,4.6,13,69.73
22.4,32,14,45,0,4.2,4.6,13,69.73
21.7,31.3,13,48,0,4.3,3.5,11.1,69.73
21.7,31.3,13,48,0,4.3,3.5,11.1,69.73
21,31.3,13,55,0,3.9,3.9,13,69.73
21,31.3,13,55,0,3.9,3.9,13,69.73
22.2,32,14.6,52,0,4.3,5.7,9.4,69.73
22.2,32,14.6,52,0,4.3,5.7,9.4,69.73
22.2,31,14,47,0,4.2,4.4,11.1,69.73
22.2,31,14,47,0,4.2,4.4,11.1,69.73
20,29.7,12,52,0,4.2,4.8,16.5,69.73
20,29.7,12,52,0,4.2,4.8,16.5,69.73
21.4,30,12.9,54,0,4.2,4.8,11.1,69.73
21.4,30,12.9,54,0,4.2,4.8,11.1,69.73
20.2,28,13,49,0,4.5,7,14.8,69.73
20.2,28,13,49,0,4.5,7,14.8,69.73
19.3,29,10.4,54,0,4,4.3,11.1,69.73
19.3,29,10.4,54,0,4,4.3,11.1,69.73
19.1,27,10,52,0,3.7,5,13,69.73
19.1,27,10,52,0,3.7,5,13,69.73
18.6,27,11,47,0,4,6.1,13,69.73
18.6,27,11,47,0,4,6.1,13,69.73
17.6,26.5,10,44,0,4,5.6,18.3,69.73
17.6,26.5,10,44,0,4,5.6,18.3,69.73
18.4,29,7.5,44,0,4.3,2.6,9.4,69.73
18.4,29,7.5,44,0,4.3,2.6,9.4,69.73
19.6,29,8,48,0,4,3,11.1,69.73
19.6,29,8,48,0,4,3,11.1,69.73
21.5,29.5,12.4,65,0,4.2,4.1,13,69.73
21.5,29.5,12.4,65,0,4.2,4.1,13,69.73
23.1,31,15.5,59,0,4,4.6,14.8,69.73
23.1,31,15.5,59,0,4,4.6,14.8,69.73
22.7,31,15,52,0,3.9,4.1,11.1,69.73
22.7,31,15,52,0,3.9,4.1,11.1,69.73
21.3,29,13,43,0,4.2,5.7,13,69.73
21.3,29,13,43,0,4.2,5.7,13,69.73
20.9,30,13,40,0,4.3,8.5,16.5,69.73
20.9,30,13,40,0,4.3,8.5,16.5,69.73
21.2,30,12,34,0,4.2,4.3,13,69.73
21.2,30,12,34,0,4.2,4.3,13,69.73
20.8,31,11,31,0,4.2,6.9,14.8,69.73
20.8,31,11,31,0,4.2,6.9,14.8,69.73
22.1,32,13.9,37,0,4.2,7.2,14.8,69.73
22.1,32,13.9,37,0,4.2,7.2,14.8,69.73
20.6,29,12,36,0,4,5.6,11.1,69.73
20.6,29,12,36,0,4,5.6,11.1,69.73
20.7,30,10.4,35,0,4.2,6.9,14.8,69.73
20.7,30,10.4,35,0,4.2,6.9,14.8,69.73
21.2,31,13,41,0,4.3,6.7,16.5,69.73
21.2,31,13,41,0,4.3,6.7,16.5,69.73
27.7,33.4,20.3,54,0,4,5.9,14.8,69.73
27.7,33.4,20.3,54,0,4,5.9,14.8,69.73
25.6,32,18,45,0,3.7,7.2,18.3,69.73
25.6,32,18,45,0,3.7,7.2,18.3,69.73
24.2,33,16,36,0,4.3,5.6,13,69.73
24.2,33,16,36,0,4.3,5.6,13,69.73
24.2,34,14.6,33,0,4,3.5,11.1,69.73
24.2,34,14.6,33,0,4,3.5,11.1,69.73
25.9,36,17,26,0,4.3,8.5,14.8,69.73
25.9,36,17,26,0,4.3,8.5,14.8,69.73
25.6,36,16,26,0,4.5,8.7,18.3,69.73
25.6,36,16,26,0,4.5,8.7,18.3,69.73
29,38,19.5,29,0,4.3,8.3,13,69.73
29,38,19.5,29,0,4.3,8.3,13,69.73
30,37,22,39,0,3.7,5,11.1,69.73
30,37,22,39,0,3.7,5,11.1,69.73
28.1,36,22,48,0,3.5,6.1,14.8,69.73
28.1,36,22,48,0,3.5,6.1,14.8,69.73
26.8,34,20,32,0,4.8,8.5,14.8,69.73
26.8,34,20,32,0,4.8,8.5,14.8,69.73
27.1,35,18,34,0,4.5,6.3,13,69.73
27.1,35,18,34,0,4.5,6.3,13,69.73
28,36,19,34,0,4.5,4.3,9.4,69.73
28,36,19,34,0,4.5,4.3,9.4,69.73
26.7,33,21,42,0,4.8,8.9,16.5,69.73
26.7,33,21,42,0,4.8,8.9,16.5,69.73
26.6,34,19,34,0,4.5,7,16.5,69.73
26.6,34,19,34,0,4.5,7,16.5,69.73
28.1,35,20,31,0,4.3,6.3,14.8,69.73
28.1,35,20,31,0,4.3,6.3,14.8,69.73
31.5,39,24.4,36,0,4.2,11.9,22.2,69.73
31.5,39,24.4,36,0,4.2,11.9,22.2,69.73
30.9,39,23,28,0,4.7,10.4,22.2,69.73
30.9,39,23,28,0,4.7,10.4,22.2,69.73
29.8,39,21.6,28,0,4.5,8.1,18.3,69.73
29.8,39,21.6,28,0,4.5,8.1,18.3,69.73
32.5,41,23,27,0,4.3,7.2,14.8,69.73
32.5,41,23,27,0,4.3,7.2,14.8,69.73
31.3,39,24,32,0,4.3,6.3,13,69.73
31.3,39,24,32,0,4.3,6.3,13,69.73
30.9,39,22,27,0,4.5,6.7,13,69.73
30.9,39,22,27,0,4.5,6.7,13,69.73
29.9,39,23,33,0,4.5,6.5,13,69.73
29.9,39,23,33,0,4.5,6.5,13,69.73
31.2,40,20.7,40,0,4.7,7.8,14.8,69.73
31.2,40,20.7,40,0,4.7,7.8,14.8,69.73
32.6,41,25.6,42,0,4.3,6.1,9.4,69.73
32.6,41,25.6,42,0,4.3,6.1,9.4,69.73
32.6,40,26,33,0,4.7,7.6,16.5,69.73
32.6,40,26,33,0,4.7,7.6,16.5,69.73
30.2,37,25,34,0,4.7,8.7,18.3,69.73
30.2,37,25,34,0,4.7,8.7,18.3,69.73
30,38,23,31,0,4.7,8.1,14.8,69.73
30,38,23,31,0,4.7,8.1,14.8,69.73
31.1,39,22,34,0,4.5,6.3,14.8,69.73
31.1,39,22,34,0,4.5,6.3,14.8,69.73
32.8,42,24,27,0,4.3,5.9,18.3,69.73
