T,TM,Tm,H,PP,VV,V,VM,O3
30.3,34.6,26.5,70,0,4,5.6,7.6,16.33
30.8,35,26.5,70,0,3.9,7.8,14.8,5.38
30.8,35,26.5,70,0,3.9,7.8,14.8,8.06
30.4,35,27,72,0,4.2,9.3,14.8,37.87
30.4,35,27,72,0,4.2,9.3,14.8,86.83
27.4,30.1,25.6,86,1.02,3.7,5.4,13,54.01
27.4,30.1,25.6,86,1.02,3.7,5.4,13,77.3
28.3,33,25.5,83,0,3.4,5.2,11.1,62.31
28.3,33,25.5,83,0,3.4,5.2,11.1,55.94
29.6,35.4,25.5,80,4.06,4,9.6,18.3,96.83
29.6,35.4,25.5,80,4.06,4,9.6,18.3,99.03
30.2,35,25.4,70,9.91,4.3,11.3,20.6,59.99
30.2,35,25.4,70,9.91,4.3,11.3,20.6,7.57
29.4,33.4,25.7,73,0,4.5,14.6,20.6,12.13
29.4,33.4,25.7,73,0,4.5,14.6,20.6,18.2
30.7,36,26,65,0,4.5,14.8,22.2,16.53
30.7,36,26,65,0,4.5,14.8,22.2,22.55
30.6,35,26.2,70,0,4.7,10,16.5,33.58
30.6,35,26.2,70,0,4.7,10,16.5,40.65
31.1,35,26.6,68,0,4.5,9.1,16.5,34.18
31.1,35,26.6,68,0,4.5,9.1,16.5,15.39
31.3,35.9,26,67,0,4.7,9.4,18.3,13.61
31.3,35.9,26,67,0,4.7,9.4,18.3,18.69
30.4,35,27,71,0,4.5,9.1,16.5,19.03
30.4,35,27,71,0,4.5,9.1,16.5,20.59
30.7,36,26.4,65,0,4.3,11.1,22.2,28.09
30.7,36,26.4,65,0,4.3,11.1,22.2,59.38
30.3,35,26,63,0,4.3,8.7,14.8,42.9
30.3,35,26,63,0,4.3,8.7,14.8,39.02
30.3,35,24.4,61,0,4.3,7.2,13,43.35
30.3,35,24.4,61,0,4.3,7.2,13,44.55
30.7,37,25.6,61,0,4.7,8.9,14.8,36.456
30.7,37,25.6,61,0,4.7,8.9,14.8,12.46
30.3,36,27,66,0,4.7,5.9,18.3,7.69
30.3,36,27,66,0,4.7,5.9,18.3,4.74
31,35.5,26,64,0,4.7,4.4,11.1,7.71
31,35.5,26,64,0,4.7,4.4,11.1,11.53
31.6,38,26.4,63,0,4.5,11.3,18.3,15.95
31.6,38,26.4,63,0,4.5,11.3,18.3,20.38
32.2,38,26.5,64,0,4.5,10.9,16.5,30.05
32.2,38,26.5,64,0,4.5,10.9,16.5,29.36
31.9,37,26.4,62,0,4.5,11.1,18.3,28.45
31.9,37,26.4,62,0,4.5,11.1,18.3,31.49
27.4,32,24,86,57.91,3.9,11.3,20.6,24.85
27.4,32,24,86,57.91,3.9,11.3,20.6,15.17
25,26,23,95,2.03,2.3,8.3,13,23.17
25,26,23,95,2.03,2.3,8.3,13,20.91
27,31,24.5,91,8.89,2.9,11.7,16.5,23.12
27,31,24.5,91,8.89,2.9,11.7,16.5,29.97
28.8,34,24,66,0,4.8,9.3,14.8,23.51
28.8,34,24,66,0,4.8,9.3,14.8,31.96
28.7,34.1,23.5,68,0,5,9.3,16.5,24.89
