PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature,TM,Tm,Humidity,Precipitation,Visbility,wind_speed,AQI
51.03,134.5612308,6.24,20.47,26.2,1.6,6.24,15.5,31.44,34,43,24.7,43,0,4.3,9.1,158
38.73,134.5612308,8,19.28,26.61,1.6,8,20.13,25.7,34,43,24.7,43,0,4.3,9.1,177
61.12,134.5612308,9.94,17.82,27.18,1.6,9.94,39.69,25.9,34.2,43.5,25.85,43,0,4.15,9.25,201
58.44,134.5612308,10.68,17.24,27.38,1.6,10.68,54.69,18.89,34.2,43.5,25.85,43,0,4.15,9.25,211
61.49,134.5612308,11.44,16.69,27.61,1.6,11.44,42.66,18.2,34.4,44,27,43,0,4,9.4,221
65.39,134.5612308,12.3,16.08,27.86,1.6,12.3,27.96,22.35,34.4,44,27,43,0,4,9.4,233
100.92,134.5612308,20.42,18.9,37.83,1.6,20.42,31.9,22.84,35.7,45,26.5,29,0,4.5,5.7,481
97.48,134.5612308,5.31,30.02,33.62,1.6,5.31,36.05,16.26,35.7,45,26.5,29,0,4.5,5.7,352
129.27,134.5612308,14.28,28.33,41.92,1.6,14.28,70.13,25.4,35.5,45,24.1,26,0,4.7,6.7,327
129.58,134.5612308,21.23,28.79,45.4,1.6,21.23,17.66,34.42,35.5,45,24.1,26,0,4.7,6.7,577
100.57,134.5612308,7.56,18.79,24.33,1.6,7.56,38.76,38.83,35.6,45,27,27,0,4.7,9.6,411
130.34,134.5612308,7.14,17.43,23.72,1.6,7.14,52.07,29.05,35.6,45,27,27,0,4.7,9.6,212
53.24,134.5612308,8.05,15.86,23.34,1.6,8.05,36.23,21.58,34.5,43,27,35,0,4.7,9.3,280
42,134.5612308,10.44,18.16,21.8,1.6,10.44,17,25.5,34.5,43,27,35,0,4.7,9.3,162
50.1,134.5612308,9.46,14.9,22.5,1.6,9.46,30.67,12.91,37.3,44,27.2,24,0,4.7,10.2,253.6
83.69,134.5612308,10.89,17.18,27.15,1.6,10.89,41.12,35.61,37.3,44,27.2,24,0,4.7,10.2,569
38.88,134.5612308,2.18,16.28,17.74,1.6,2.18,26.4,12.47,32.9,43,27.4,49,0,3.7,7.4,128
46.89,134.5612308,2.96,16.17,18.49,1.6,2.96,41.96,10.74,32.9,43,27.4,49,0,3.7,7.4,129
70.96,134.5612308,4.12,15.47,19.28,1.6,4.12,23.67,16.01,34.4,40,25.2,48,7.11,3.9,6.1,152
53.66,134.5612308,4.23,14.43,18.06,1.6,4.23,14.46,45.64,34.4,40,25.2,48,7.11,3.9,6.1,176
45.49,134.5612308,4.26,13.73,17.1,1.6,4.26,12.85,71.85,36.5,45,27,33,0,4.3,5.9,167
60.86,134.5612308,5.27,16.61,21.42,1.6,5.27,14.91,41.19,36.5,45,27,33,0,4.3,5.9,106
51.93,134.5612308,13.71,17.87,31.64,1.6,13.71,15.33,12.88,36.3,46,28.1,42,0,4.7,15,231
77.87,134.5612308,6.67,17.12,23,1.6,6.67,46.82,16.67,36.3,46,28.1,42,0,4.7,15,327
57.59,134.5612308,5.6,15.47,20.42,1.6,5.6,41.68,25.51,34.9,44,28.4,51,0,4.7,13.3,174
77.22,134.5612308,7.02,15.47,21.13,1.6,7.02,71.97,9.56,34.9,44,28.4,51,0,4.7,13.3,185
45.29,134.5612308,7.25,12.74,19.66,1.6,7.25,18.64,6.32,36.1,46,29,46,0,4.5,11.9,179
103.78,134.5612308,6.36,13.9,19.86,1.6,6.36,7.76,15.27,36.1,46,29,46,0,4.5,11.9,211
25.14,134.5612308,6.01,18.73,24.74,1.6,6.01,38.05,38.52,35.9,45,29,47,0,4.7,15,192
